marker,mean,lo,hi
we (institutional),1.8491166848418756,1.688373500545256,2.0287350054525626
you (direct address),0.9031515812431843,0.7625924209378407,1.0609724645583425
I (personal),0.21206106870229008,0.13490812431842966,0.30267639040348965
they (third person),0.7203925845147219,0.6270316248636859,0.8169596510359868
