Post_ID,Actor_Name,Post_Format,BERTopic,functional_genre,blindspot,comment_avail,n_comments_scraped,eng_rate,pca1,pca2,pca3,pca1_bin,pca2_bin,pca3_bin,commemoration_day,live_series,hiring,pure_info
DTsQUhIDj4F,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,False,0,0.004118,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DUCyOBzjtGW,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,True,False,0,0.002557,-0.6845461079560908,-1.4681616514349065,0.0521433884223778,lo,lo,mid,False,False,False,False
DT_B707iWMb,Harnas Wildlife Foundation,Carousel,22,org_update_identity,False,False,0,0.002806,-0.015130186578565033,0.343470585842195,0.0906257722933255,mid,mid,mid,False,False,False,False
DQtsfnrES6W,Environmental Investment Fund,Image,-1,outlier_atypical,False,False,0,0.008866,-1.8844547150106385,0.8765566936501313,-0.13599456239198435,lo,hi,mid,False,False,False,False
DTn2xOlD7JJ,Harnas Wildlife Foundation,Carousel,1,ecotourism_aesthetic,False,True,5,0.007626,1.0222012037543913,-0.17356891351157305,1.1911379197862408,hi,mid,hi,False,False,False,False
DWdtfb8Cewk,Gobabeb Research & Training Centre,Carousel,12,research_dispatch,False,False,0,0.03777,-0.3603889855276791,-1.3577062983867636,-0.9786540834991607,mid,lo,lo,False,False,False,False
DUqUliEDNSs,Elephant Human Relations Aid,Image,0,coexistence_community_livelihoods,False,False,2,0.016289,-1.2550239341119331,-0.6280431837708944,0.0807900282161964,lo,mid,mid,False,False,False,False
DSXuQFEiGjJ,Environmental Investment Fund,Image,16,education_youth,True,False,0,0.003167,-1.5513729072601115,-1.038686199185939,0.1239568725039085,lo,lo,mid,False,False,False,False
DQlvwlSjZA2,Environmental Investment Fund,Image,-1,outlier_atypical,False,False,0,0.062698,-2.567477549785678,-0.7152838069965932,1.5096863735216415,lo,mid,hi,False,False,False,False
DSqL_CYjCQI,WWF Namibia,Image,11,org_update_identity,False,False,0,-0.000311,-2.1218507334159535,-0.19856773152192703,0.1526035122977271,lo,mid,mid,False,False,False,False
