Post_ID,src_org,mentioned,is_own_org
DUIs9smjU9U,gobabeb,vitenskapsmuseet_ntnu,0
DTz7HPojK0l,ehranamibia,conservation.diaries,0
DR_9tu4DEa9,wwfnamibia,ministry_of_environment_nam,1
DR_9tu4DEa9,wwfnamibia,namibianpoliceforce,0
DSAAY7CCL0h,namibia_nature_foundation,ministry_of_environment_nam,1
DSAAY7CCL0h,namibia_nature_foundation,savetherhinonamibia,1
DSAAY7CCL0h,namibia_nature_foundation,stateinl,0
DSAAY7CCL0h,namibia_nature_foundation,rhinorecoveryfund,0
DSAAY7CCL0h,namibia_nature_foundation,wildnetorg,0
DSAAY7CCL0h,namibia_nature_foundation,euinnam,0
DSAAY7CCL0h,namibia_nature_foundation,smartcnsvtools,0
DSAAY7CCL0h,namibia_nature_foundation,namra_org_na,0
DSAAY7CCL0h,namibia_nature_foundation,c0921,0
DSAAY7CCL0h,namibia_nature_foundation,workingdogsforconservation,0
DSAAY7CCL0h,namibia_nature_foundation,nczoo,0
DRwLY29iqCu,namibia_nature_foundation,oppgenrc,0
DRwLY29iqCu,namibia_nature_foundation,legacylandscapesfund,0
DRwLY29iqCu,namibia_nature_foundation,the_iied,0
DRwLY29iqCu,namibia_nature_foundation,wwfnamibia,1
DRwLY29iqCu,namibia_nature_foundation,irdnc.namibia,0
DRwLY29iqCu,namibia_nature_foundation,ministry_of_environment_nam,1
DRwLY29iqCu,namibia_nature_foundation,stateinl,0
DRwLY29iqCu,namibia_nature_foundation,namibia_helicopter,0
DRylxXvCGVv,namibia_nature_foundation,ministry_of_environment_nam,1
DTxnqemDkJW,gobabeb,sajorec,0
DTxnqemDkJW,gobabeb,wbg,0
DRkDGmqil3i,namibia_nature_foundation,ministry_of_environment_nam,1
DRkDGmqil3i,namibia_nature_foundation,nacso_namibia1,1
DUF8p2CDAtQ,wwfnamibia,wwf.na,0
DXLuD9Wijhj,namyouthchamber,ehranamibia,1
DXZHhSxCp6z,namyouthchamber,ium_environmental_society,0
DXeGKudihBK,namibia_nature_foundation,namyouthchamber,1
DXeGKudihBK,namibia_nature_foundation,blueactionfund,0
DXbo4bICltt,namibia_nature_foundation,namyouthchamber,1
DXodK1uCjQS,namyouthchamber,girlupnamibia,0
DQ_hY2pDcxc,namibia_nature_foundation,nacso_namibia1,1
DQ_hY2pDcxc,namibia_nature_foundation,wwfnamibia,1
DQ9QJa0iknB,namibia_nature_foundation,luderitztowncouncil,0
DRKJ-EZigFp,namibia_nature_foundation,novanam,0
DRKTe9SitKH,namibia_nature_foundation,unam_na,0
DRCbRmxja_O,namibia_nature_foundation,stateinl,0
DRCbRmxja_O,namibia_nature_foundation,ministry_of_environment_nam,1
DXPmUSmAsWS,giraffe_conservation,mlorentz23,0
DWEnQrpO-q8,africat_foundation,pascal__ok,0
DV84SaljvmX,africat_foundation,pascal__ok,0
DVbcgVLDPGM,africat_foundation,pascal__ok,0
DWb7j2uDMKS,africat_foundation,pascal__ok,0
DVRGvV1DNZT,africat_foundation,okonjima_nature_reserve,0
DVRGvV1DNZT,africat_foundation,pascal__ok,0
DWMgGWFjOeC,africat_foundation,pascal__ok,0
DVq2xA8DRA_,africat_foundation,pascal__ok,0
DVykjIEDLEb,africat_foundation,pascal__ok,0
DXKc58qjZ0A,giraffe_conservation,universitycollegedublin,0
DXKc58qjZ0A,giraffe_conservation,universitycollegecork,0
DXKc58qjZ0A,giraffe_conservation,africanparksnetwork,0
DXKc58qjZ0A,giraffe_conservation,smithsonianzoo,0
DWtzXr8ODrc,africat_foundation,pascal__ok,0
DWUGbt-DAvh,ministry_of_environment_nam,wwfnamibia,1
DWUGbt-DAvh,ministry_of_environment_nam,ccfnam,0
DWUGbt-DAvh,ministry_of_environment_nam,nacso_namibia1,1
DWUGbt-DAvh,ministry_of_environment_nam,namibia_nature_foundation,1
DWUGbt-DAvh,ministry_of_environment_nam,kfw_namibia,0
DXexE6XjJDv,africat_foundation,pascal__ok,0
DXexE6XjJDv,africat_foundation,nadiasnijders_photography,0
DXUcLv_jGa4,africat_foundation,jjsnijders_photography,0
DXUcLv_jGa4,africat_foundation,pascal__ok,0
DXbSvspFoHk,savetherhinonamibia,marcuswestbergphotography,0
DWyGEHKDo5E,savetherhinonamibia,marcuswestbergphotography,0
DXqvhiqlt1o,savetherhinonamibia,marcuswestbergphotography,0
DXpCdUhjNBm,africat_foundation,pascal__ok,0
DU7v1hOilMn,namyouthchamber,soa_namibia,0
DRSKePSDN6A,africat_foundation,pascal__ok,0
DWzDJHOkk7W,ccfcheetah,serengetiparkhodenhagen,0
DQ3dSnjDP3l,wwfnamibia,c1114,0
DTw3Yjzim57,namyouthchamber,namibia_nature_foundation,1
DSsoe4NDfql,giraffe_conservation,felixrome_,0
DSsoe4NDfql,giraffe_conservation,governorscampcollection,0
DUYeCeoDJs6,africat_foundation,pascal__ok,0
DVBpQ6sjE5H,africat_foundation,pascal__ok,0
DQvrtOYjDeU,giraffe_conservation,kenyawildlifeservice,0
DQvrtOYjDeU,giraffe_conservation,thesafaricollection,0
DRP79xHj7NN,giraffe_conservation,cheyennemountainzoo,0
DXM5JzSjdGk,eif_namibia,ministry_of_environment_nam,1
DXM5JzSjdGk,eif_namibia,bankwindhoek,0
DXM5JzSjdGk,eif_namibia,unam_na,0
DXoC0N4mgkj,oceanconservationnamibia,namibtimes,0
DXeSg6pAHo-,oceanconservationnamibia,charrier.isa,0
DXtW3C-FV7E,oceanconservationnamibia,nustnamibia,0
DXtW3C-FV7E,oceanconservationnamibia,nustnamibia,0
DWPV37mjdwz,eif_namibia,unam_na,0
DWPV37mjdwz,eif_namibia,eif.org.na,0
DUqUliEDNSs,ehranamibia,ehranamibia.org,0
