emotion,mean,lo,hi
trust,0.15493347873500546,0.14743028353326063,0.16285355779716465
anticipation,0.11804601962922573,0.11058925299890948,0.12574173391494003
joy,0.07870839694656488,0.07359039803707743,0.0838076254089422
fear,0.04642628135223555,0.04255541439476554,0.05033779171210469
surprise,0.04275648854961832,0.038244277535441656,0.04765712377317339
sadness,0.03014700109051254,0.026574732824427478,0.033784631952017447
anger,0.025232497273718648,0.022467017448200656,0.0281348800436205
disgust,0.016729880043620502,0.014477448200654308,0.01902490730643402
