Post_ID,hashtag,tag_class
DWCWeXDDvpY,sciencebasedconservation,community_other
DWCWeXDDvpY,giraffedna,branded
DWCWeXDDvpY,fourgiraffespecies,branded
DWCWeXDDvpY,wildlifeconservation,community_other
DWCWeXDDvpY,gcf,community_other
DWUYKewCPZI,giraffeconservation,branded
DWUYKewCPZI,wildlifemigration,community_other
DWUYKewCPZI,africa,generic
DWUYKewCPZI,conservationsuccess,community_other
DWUYKewCPZI,nubiangiraffe,branded
DWUYKewCPZI,kordofangiraffe,branded
DWUYKewCPZI,giraffeconservationfoundation,branded
DWUYKewCPZI,giraffemovmentpatterns,branded
DWUYKewCPZI,wildlifemovement,community_other
DWUYKewCPZI,connectedlandscapes,community_other
DWUYKewCPZI,conservationefforts,community_other
DWUYKewCPZI,monitoringgiraffe,branded
DWUYKewCPZI,gcf,community_other
DV1ejcrjD4w,giraffeconservationfoundation,branded
DV1ejcrjD4w,giraffebeauty,branded
DV1ejcrjD4w,tgif,community_other
DV1ejcrjD4w,thankgiraffeitsfriday,campaign
DV1ejcrjD4w,giraffes,branded
DV1ejcrjD4w,weekendvibes,campaign
DV1ejcrjD4w,giraffelove,branded
DV1ejcrjD4w,affectionategiraffe,branded
DV1ejcrjD4w,giraffe,branded
DV1ejcrjD4w,gcf,community_other
DWZhpaAj9mI,giraffeconservationfoundation,branded
DWZhpaAj9mI,giraffebeauty,branded
DWZhpaAj9mI,giraffewalking,branded
DWZhpaAj9mI,nature,generic
DWZhpaAj9mI,wildlife,generic
DWZhpaAj9mI,giraffepattern,branded
DWZhpaAj9mI,giraffe,branded
DWZhpaAj9mI,giraffelovers,branded
DWZhpaAj9mI,tgif,community_other
DWZhpaAj9mI,thankgiraffeitsfriday,campaign
DWZhpaAj9mI,gcf,community_other
DWMpye-jTwn,giraffeconservationfoundation,branded
DWMpye-jTwn,environmentaleducation,community_other
DWMpye-jTwn,keep,community_other
DWMpye-jTwn,wildlifeeducation,community_other
DWMpye-jTwn,wildlife,generic
DWMpye-jTwn,giraffeconservation,branded
DWMpye-jTwn,giraffeeducation,branded
DWMpye-jTwn,fieldtrips,community_other
DWMpye-jTwn,engageconservationists,community_other
DWMpye-jTwn,youngconservationists,community_other
DWMpye-jTwn,gcf,community_other
DR2Pq0aDO16,africat,branded
DR2Pq0aDO16,research,community_other
DR2Pq0aDO16,okonjima,community_other
DR2Pq0aDO16,wildlifeconservation,community_other
DR2Pq0aDO16,namibia,generic
