round,condition,ad_name,comment_text,timestamp,timestamp_precision,ig_relative_marker,is_reply,non_textual,source,media_id
round1,narrative,WC_narrative_1,Wagugwa,2026-06-25,approx_from_relative,2w,,False,business_suite,17905984188263302
round1,social_norm,WC_socialnorm_2,Get something else to talk about cause I'm Namibia but I ain't see it that way,2026-06-25,approx_from_relative,2w,,False,business_suite,17903066697445166
round1,narrative,WC_narrative_3,Nalie,2026-06-25,approx_from_relative,2w,,False,business_suite,18102249701025716
round1,narrative,WC_narrative_3,,2026-06-25,approx_from_relative,2w,,True,business_suite,18102249701025716
round1,narrative,WC_narrative_3,Lies,2026-06-25,approx_from_relative,2w,,False,business_suite,18102249701025716
round1,narrative,WC_narrative_3,Ek dink nie ons bly in die selfde Namibia nie,2026-06-25,approx_from_relative,2w,,False,business_suite,18102249701025716
round1,narrative,WC_narrative_3,Is this data correct ?,2026-06-25,approx_from_relative,2w,,False,business_suite,18102249701025716
round1,narrative,WC_narrative_2,Useless information,2026-06-25,approx_from_relative,2w,,False,business_suite,18428311753126641
round1,narrative,WC_narrative_2,Fucking lies,2026-06-25,approx_from_relative,2w,,False,business_suite,18428311753126641
round1,narrative,WC_narrative_2,,2026-06-25,approx_from_relative,2w,,True,business_suite,18428311753126641
round1,narrative,WC_narrative_2,Hmmmm julle,2026-06-25,approx_from_relative,2w,,False,business_suite,18428311753126641
round1,narrative,WC_narrative_2,Katima doesn't,2026-06-25,approx_from_relative,2w,,False,business_suite,18428311753126641
