round,ad_name,age,gender,impressions,reach,link_clicks
2,WC_neutral_1,18-24,female,4860,4619,22
2,WC_neutral_1,18-24,male,5517,5286,17
2,WC_neutral_1,18-24,unknown,58,51,0
2,WC_neutral_1,25-34,female,3149,3020,8
2,WC_neutral_1,25-34,male,3573,3483,13
2,WC_neutral_1,25-34,unknown,37,34,1
2,WC_neutral_1,35-44,female,185,175,0
2,WC_neutral_1,35-44,male,185,177,0
2,WC_neutral_2,18-24,female,4864,4484,16
2,WC_neutral_2,18-24,male,5678,5178,15
2,WC_neutral_2,18-24,unknown,80,75,0
2,WC_neutral_2,25-34,female,3422,3341,12
2,WC_neutral_2,25-34,male,3860,3728,16
2,WC_neutral_2,25-34,unknown,37,30,1
2,WC_neutral_2,35-44,female,163,160,1
2,WC_neutral_2,35-44,male,189,177,0
2,WC_neutral_2,35-44,unknown,3,3,1
2,WC_neutral_2,Unknown,male,1,1,0
2,WC_neutral_3,18-24,female,4615,4306,16
2,WC_neutral_3,18-24,male,5347,5057,12
2,WC_neutral_3,18-24,unknown,80,71,0
2,WC_neutral_3,25-34,female,3278,3049,13
2,WC_neutral_3,25-34,male,3655,3524,8
2,WC_neutral_3,25-34,unknown,32,28,0
2,WC_neutral_3,35-44,female,181,172,1
2,WC_neutral_3,35-44,male,159,148,1
2,WC_empathy_1,18-24,female,4818,4651,17
2,WC_empathy_1,18-24,male,5127,4717,20
2,WC_empathy_1,18-24,unknown,58,53,0
2,WC_empathy_1,25-34,female,3450,3229,14
2,WC_empathy_1,25-34,male,3379,3324,15
2,WC_empathy_1,25-34,unknown,32,30,0
2,WC_empathy_1,35-44,female,184,175,2
2,WC_empathy_1,35-44,male,156,150,1
2,WC_empathy_1,35-44,unknown,1,1,0
2,WC_empathy_1,Unknown,male,1,1,0
2,WC_empathy_2,18-24,female,5995,5322,14
2,WC_empathy_2,18-24,male,6720,5924,14
2,WC_empathy_2,18-24,unknown,77,67,0
2,WC_empathy_2,25-34,female,3807,3515,13
2,WC_empathy_2,25-34,male,4032,3498,13
2,WC_empathy_2,25-34,unknown,35,33,0
2,WC_empathy_2,35-44,female,186,169,2
2,WC_empathy_2,35-44,male,192,173,0
2,WC_empathy_3,18-24,female,5242,4775,11
2,WC_empathy_3,18-24,male,6121,5436,19
2,WC_empathy_3,18-24,unknown,51,48,0
2,WC_empathy_3,25-34,female,3508,3287,22
2,WC_empathy_3,25-34,male,3989,3776,21
2,WC_empathy_3,25-34,unknown,32,29,0
2,WC_empathy_3,35-44,female,202,189,1
2,WC_empathy_3,35-44,male,168,153,0
2,WC_empathy_3,35-44,unknown,1,1,0
2,WC_socialnorm_1,18-24,female,5016,4504,12
2,WC_socialnorm_1,18-24,male,5572,5070,19
2,WC_socialnorm_1,18-24,unknown,46,43,2
2,WC_socialnorm_1,25-34,female,3543,3307,14
2,WC_socialnorm_1,25-34,male,3883,3653,23
2,WC_socialnorm_1,25-34,unknown,32,29,0
2,WC_socialnorm_1,35-44,female,192,180,1
2,WC_socialnorm_1,35-44,male,161,147,1
2,WC_socialnorm_1,35-44,unknown,1,1,0
2,WC_socialnorm_1,Unknown,male,1,1,0
2,WC_socialnorm_2,18-24,female,4633,4296,14
2,WC_socialnorm_2,18-24,male,5687,5248,17
2,WC_socialnorm_2,18-24,unknown,58,51,0
2,WC_socialnorm_2,25-34,female,3253,3060,16
2,WC_socialnorm_2,25-34,male,3917,3584,12
2,WC_socialnorm_2,25-34,unknown,36,31,0
2,WC_socialnorm_2,35-44,female,181,171,2
2,WC_socialnorm_2,35-44,male,206,200,1
2,WC_socialnorm_3,18-24,female,5176,4581,14
2,WC_socialnorm_3,18-24,male,6071,5433,15
2,WC_socialnorm_3,18-24,unknown,68,55,0
2,WC_socialnorm_3,25-34,female,3421,3066,8
2,WC_socialnorm_3,25-34,male,4024,3686,11
2,WC_socialnorm_3,25-34,unknown,32,28,0
2,WC_socialnorm_3,35-44,female,162,156,1
2,WC_socialnorm_3,35-44,male,175,166,1
2,WC_socialnorm_3,35-44,unknown,3,3,0
2,WC_narrative_1,18-24,female,4277,3822,18
2,WC_narrative_1,18-24,male,4552,4171,14
2,WC_narrative_1,18-24,unknown,49,48,0
2,WC_narrative_1,25-34,female,2850,2653,17
2,WC_narrative_1,25-34,male,3061,2879,15
2,WC_narrative_1,25-34,unknown,27,26,0
2,WC_narrative_1,35-44,female,143,142,1
2,WC_narrative_1,35-44,male,135,131,1
2,WC_narrative_1,35-44,unknown,1,1,0
2,WC_narrative_2,18-24,female,4907,4583,9
2,WC_narrative_2,18-24,male,5841,5367,14
2,WC_narrative_2,18-24,unknown,59,57,1
2,WC_narrative_2,25-34,female,3476,3259,22
2,WC_narrative_2,25-34,male,3836,3648,15
2,WC_narrative_2,25-34,unknown,35,32,0
2,WC_narrative_2,35-44,female,164,150,2
2,WC_narrative_2,35-44,male,176,173,2
2,WC_narrative_2,35-44,unknown,1,1,0
2,WC_narrative_3,18-24,female,4969,4539,16
2,WC_narrative_3,18-24,male,5561,5038,15
2,WC_narrative_3,18-24,unknown,60,56,0
2,WC_narrative_3,25-34,female,3520,3461,11
2,WC_narrative_3,25-34,male,3749,3548,17
2,WC_narrative_3,25-34,unknown,31,31,0
2,WC_narrative_3,35-44,female,157,148,1
2,WC_narrative_3,35-44,male,162,157,0
