round,ad_name,region,impressions,reach,link_clicks
1,WC_neutral_1,Erongo Region,2340,2036,7
1,WC_neutral_1,Hardap Region,499,463,2
1,WC_neutral_1,Kavango East,491,445,4
1,WC_neutral_1,Khomas Region,9875,9107,72
1,WC_neutral_1,Kunene Region,155,142,2
1,WC_neutral_1,Ohangwena Region,219,205,0
1,WC_neutral_1,Omaheke Region,159,149,1
1,WC_neutral_1,Omusati Region,204,191,0
1,WC_neutral_1,Oshana Region,1354,1207,5
1,WC_neutral_1,Oshikoto Region,363,341,4
1,WC_neutral_1,Otjozondjupa Region,1023,915,9
1,WC_neutral_1,Unknown,11,9,0
1,WC_neutral_1,Zambezi Region,215,199,1
1,WC_neutral_1,ǁKaras Region,697,624,5
1,WC_neutral_2,Erongo Region,2672,2320,7
1,WC_neutral_2,Hardap Region,719,627,1
1,WC_neutral_2,Kavango East,527,478,2
1,WC_neutral_2,Khomas Region,10376,9076,36
1,WC_neutral_2,Kunene Region,226,198,0
1,WC_neutral_2,Ohangwena Region,229,213,0
1,WC_neutral_2,Omaheke Region,198,183,0
1,WC_neutral_2,Omusati Region,259,231,2
1,WC_neutral_2,Oshana Region,1491,1343,1
1,WC_neutral_2,Oshikoto Region,441,386,1
1,WC_neutral_2,Otjozondjupa Region,1152,1023,4
1,WC_neutral_2,Unknown,16,15,0
1,WC_neutral_2,Zambezi Region,240,224,2
1,WC_neutral_2,ǁKaras Region,804,723,1
1,WC_neutral_3,Erongo Region,2446,2178,18
1,WC_neutral_3,Hardap Region,576,529,1
1,WC_neutral_3,Kavango East,471,430,2
1,WC_neutral_3,Khomas Region,9674,9083,57
1,WC_neutral_3,Kunene Region,172,155,4
1,WC_neutral_3,Ohangwena Region,199,181,2
1,WC_neutral_3,Omaheke Region,189,170,0
1,WC_neutral_3,Omusati Region,256,236,3
1,WC_neutral_3,Oshana Region,1266,1173,4
1,WC_neutral_3,Oshikoto Region,394,365,2
1,WC_neutral_3,Otjozondjupa Region,997,900,4
1,WC_neutral_3,Unknown,12,11,0
1,WC_neutral_3,Zambezi Region,217,200,0
1,WC_neutral_3,ǁKaras Region,710,639,6
1,WC_empathy_1,Erongo Region,2329,2178,10
1,WC_empathy_1,Hardap Region,589,507,2
1,WC_empathy_1,Kavango East,445,413,1
1,WC_empathy_1,Khomas Region,9147,8505,72
1,WC_empathy_1,Kunene Region,170,155,2
1,WC_empathy_1,Ohangwena Region,220,208,4
1,WC_empathy_1,Omaheke Region,179,166,0
1,WC_empathy_1,Omusati Region,227,217,1
1,WC_empathy_1,Oshana Region,1310,1220,4
1,WC_empathy_1,Oshikoto Region,375,336,1
1,WC_empathy_1,Otjozondjupa Region,1017,951,4
1,WC_empathy_1,Unknown,14,13,0
1,WC_empathy_1,Zambezi Region,211,203,2
1,WC_empathy_1,ǁKaras Region,665,608,3
1,WC_empathy_2,Erongo Region,2284,2024,7
1,WC_empathy_2,Hardap Region,537,485,0
1,WC_empathy_2,Kavango East,423,397,1
1,WC_empathy_2,Khomas Region,9845,9045,47
1,WC_empathy_2,Kunene Region,164,150,2
1,WC_empathy_2,Ohangwena Region,200,184,3
1,WC_empathy_2,Omaheke Region,153,142,0
1,WC_empathy_2,Omusati Region,210,193,0
1,WC_empathy_2,Oshana Region,1157,1011,8
1,WC_empathy_2,Oshikoto Region,370,343,0
1,WC_empathy_2,Otjozondjupa Region,963,850,3
1,WC_empathy_2,Unknown,7,7,0
1,WC_empathy_2,Zambezi Region,195,175,1
1,WC_empathy_2,ǁKaras Region,677,600,5
1,WC_empathy_3,Erongo Region,2451,2189,9
1,WC_empathy_3,Hardap Region,606,529,2
1,WC_empathy_3,Kavango East,492,444,4
1,WC_empathy_3,Khomas Region,10042,8939,58
1,WC_empathy_3,Kunene Region,154,138,3
1,WC_empathy_3,Ohangwena Region,209,197,1
1,WC_empathy_3,Omaheke Region,164,150,0
1,WC_empathy_3,Omusati Region,212,198,0
1,WC_empathy_3,Oshana Region,1287,1161,5
1,WC_empathy_3,Oshikoto Region,395,361,5
1,WC_empathy_3,Otjozondjupa Region,1023,917,3
1,WC_empathy_3,Unknown,11,11,0
1,WC_empathy_3,Zambezi Region,233,210,0
1,WC_empathy_3,ǁKaras Region,678,613,1
1,WC_socialnorm_1,Erongo Region,2482,2291,9
1,WC_socialnorm_1,Hardap Region,586,534,0
1,WC_socialnorm_1,Kavango East,517,463,5
1,WC_socialnorm_1,Khomas Region,9900,8760,67
1,WC_socialnorm_1,Kunene Region,175,158,0
1,WC_socialnorm_1,Ohangwena Region,233,214,1
