round,ad_name,impressions,reach,link_clicks,video_p25,video_p50,video_p75,video_p100,thruplays,avg_watch_s,outbound_clicks,outbound_ctr,quality_ranking,engagement_ranking,conversion_ranking,cost_per_link_click,cost_per_thruplay
1,WC_neutral_1,17605,15583,112,1553,940,568,233,1127,4,112,0.636183,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.087679,0.008713
1,WC_neutral_2,19350,16771,57,1518,968,626,293,1094,4,57,0.294574,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.174035,0.009068
1,WC_neutral_3,17579,16297,103,1648,1102,686,264,1280,4,103,0.585926,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.096311,0.00775
1,WC_empathy_1,16898,15602,106,1712,1092,647,287,1270,5,106,0.627293,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.09283,0.007748
1,WC_empathy_2,17185,15569,77,1272,832,513,207,1011,3,77,0.448065,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.128701,0.009802
1,WC_empathy_3,17957,16200,91,1682,1065,670,301,1247,4,91,0.506766,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.109011,0.007955
1,WC_socialnorm_1,17861,15521,96,1540,894,523,179,1334,5,96,0.537484,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.103021,0.007414
1,WC_socialnorm_2,17436,16145,64,1256,753,448,158,1159,4,64,0.367057,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.155156,0.008568
1,WC_socialnorm_3,17098,15315,115,1266,792,479,140,1126,4,115,0.672593,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.086087,0.008792
1,WC_narrative_1,17498,16490,124,1488,921,626,185,1285,5,124,0.708652,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.079597,0.007681
1,WC_narrative_2,18839,16384,99,1255,803,596,231,1049,4,99,0.525506,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35,0.100202,0.009457
1,WC_narrative_3,17462,15742,96,1418,924,644,210,1159,4,96,0.549765,BELOW_AVERAGE_35,AVERAGE,AVERAGE,0.103021,0.008533
