round,ad_name,hourly_stats_aggregated_by_advertiser_time_zone,impressions,reach,link_clicks
1,WC_empathy_1,07:00:00 - 07:59:59,532,0,6
1,WC_empathy_2,07:00:00 - 07:59:59,519,0,2
1,WC_empathy_3,07:00:00 - 07:59:59,538,0,4
1,WC_socialnorm_1,07:00:00 - 07:59:59,508,0,4
1,WC_socialnorm_2,07:00:00 - 07:59:59,550,0,3
1,WC_socialnorm_3,07:00:00 - 07:59:59,569,0,8
1,WC_narrative_1,07:00:00 - 07:59:59,540,0,10
1,WC_narrative_2,07:00:00 - 07:59:59,534,0,5
1,WC_narrative_3,07:00:00 - 07:59:59,490,0,3
1,WC_neutral_1,08:00:00 - 08:59:59,712,0,7
1,WC_neutral_2,08:00:00 - 08:59:59,650,0,1
1,WC_neutral_3,08:00:00 - 08:59:59,557,0,4
1,WC_empathy_1,08:00:00 - 08:59:59,659,0,3
1,WC_empathy_2,08:00:00 - 08:59:59,592,0,2
1,WC_empathy_3,08:00:00 - 08:59:59,699,0,8
1,WC_socialnorm_1,08:00:00 - 08:59:59,682,0,2
1,WC_socialnorm_2,08:00:00 - 08:59:59,608,0,1
1,WC_socialnorm_3,08:00:00 - 08:59:59,683,0,8
1,WC_narrative_1,08:00:00 - 08:59:59,753,0,2
1,WC_narrative_2,08:00:00 - 08:59:59,696,0,4
1,WC_narrative_3,08:00:00 - 08:59:59,615,0,3
1,WC_neutral_1,09:00:00 - 09:59:59,816,0,7
1,WC_neutral_2,09:00:00 - 09:59:59,910,0,1
1,WC_neutral_3,09:00:00 - 09:59:59,706,0,8
1,WC_empathy_1,09:00:00 - 09:59:59,736,0,5
1,WC_empathy_2,09:00:00 - 09:59:59,777,0,4
1,WC_empathy_3,09:00:00 - 09:59:59,802,0,5
1,WC_socialnorm_1,09:00:00 - 09:59:59,816,0,4
1,WC_socialnorm_2,09:00:00 - 09:59:59,780,0,4
1,WC_socialnorm_3,09:00:00 - 09:59:59,815,0,10
1,WC_narrative_1,09:00:00 - 09:59:59,863,0,11
1,WC_narrative_2,09:00:00 - 09:59:59,857,0,2
1,WC_narrative_3,09:00:00 - 09:59:59,727,0,5
1,WC_neutral_1,10:00:00 - 10:59:59,790,0,5
1,WC_neutral_2,10:00:00 - 10:59:59,709,0,2
1,WC_neutral_3,10:00:00 - 10:59:59,606,0,2
1,WC_empathy_1,10:00:00 - 10:59:59,684,0,5
1,WC_empathy_2,10:00:00 - 10:59:59,601,0,3
1,WC_empathy_3,10:00:00 - 10:59:59,680,0,2
1,WC_socialnorm_1,10:00:00 - 10:59:59,742,0,2
1,WC_socialnorm_2,10:00:00 - 10:59:59,678,0,1
1,WC_socialnorm_3,10:00:00 - 10:59:59,718,0,8
1,WC_narrative_1,10:00:00 - 10:59:59,763,0,4
1,WC_narrative_2,10:00:00 - 10:59:59,677,0,1
1,WC_narrative_3,10:00:00 - 10:59:59,635,0,3
1,WC_neutral_1,11:00:00 - 11:59:59,819,0,8
1,WC_neutral_2,11:00:00 - 11:59:59,795,0,1
1,WC_neutral_3,11:00:00 - 11:59:59,746,0,7
1,WC_empathy_1,11:00:00 - 11:59:59,752,0,4
1,WC_empathy_2,11:00:00 - 11:59:59,601,0,3
1,WC_empathy_3,11:00:00 - 11:59:59,798,0,7
1,WC_socialnorm_1,11:00:00 - 11:59:59,804,0,6
1,WC_socialnorm_2,11:00:00 - 11:59:59,603,0,4
1,WC_socialnorm_3,11:00:00 - 11:59:59,758,0,7
1,WC_narrative_1,11:00:00 - 11:59:59,786,0,6
1,WC_narrative_2,11:00:00 - 11:59:59,712,0,6
1,WC_narrative_3,11:00:00 - 11:59:59,731,0,3
1,WC_neutral_1,12:00:00 - 12:59:59,806,0,2
1,WC_neutral_2,12:00:00 - 12:59:59,856,0,2
1,WC_neutral_3,12:00:00 - 12:59:59,783,0,1
1,WC_empathy_1,12:00:00 - 12:59:59,667,0,4
1,WC_empathy_2,12:00:00 - 12:59:59,694,0,5
1,WC_empathy_3,12:00:00 - 12:59:59,833,0,7
1,WC_socialnorm_1,12:00:00 - 12:59:59,783,0,8
1,WC_socialnorm_2,12:00:00 - 12:59:59,656,0,2
1,WC_socialnorm_3,12:00:00 - 12:59:59,784,0,3
1,WC_narrative_1,12:00:00 - 12:59:59,814,0,8
1,WC_narrative_2,12:00:00 - 12:59:59,769,0,7
1,WC_narrative_3,12:00:00 - 12:59:59,760,0,1
1,WC_neutral_1,13:00:00 - 13:59:59,799,0,4
1,WC_neutral_2,13:00:00 - 13:59:59,900,0,2
1,WC_neutral_3,13:00:00 - 13:59:59,810,0,4
1,WC_empathy_1,13:00:00 - 13:59:59,681,0,5
1,WC_empathy_2,13:00:00 - 13:59:59,760,0,6
1,WC_empathy_3,13:00:00 - 13:59:59,850,0,3
1,WC_socialnorm_1,13:00:00 - 13:59:59,785,0,6
1,WC_socialnorm_2,13:00:00 - 13:59:59,768,0,2
1,WC_socialnorm_3,13:00:00 - 13:59:59,819,0,3
1,WC_narrative_1,13:00:00 - 13:59:59,715,0,6
1,WC_narrative_2,13:00:00 - 13:59:59,785,0,4
1,WC_narrative_3,13:00:00 - 13:59:59,709,0,8
1,WC_neutral_1,14:00:00 - 14:59:59,734,0,10
1,WC_neutral_2,14:00:00 - 14:59:59,873,0,0
1,WC_neutral_3,14:00:00 - 14:59:59,783,0,7
1,WC_empathy_1,14:00:00 - 14:59:59,725,0,9
1,WC_empathy_2,14:00:00 - 14:59:59,702,0,2
1,WC_empathy_3,14:00:00 - 14:59:59,736,0,6
1,WC_socialnorm_1,14:00:00 - 14:59:59,791,0,2
1,WC_socialnorm_2,14:00:00 - 14:59:59,809,0,6
1,WC_socialnorm_3,14:00:00 - 14:59:59,721,0,7
1,WC_narrative_1,14:00:00 - 14:59:59,722,0,5
1,WC_narrative_2,14:00:00 - 14:59:59,790,0,3
1,WC_narrative_3,14:00:00 - 14:59:59,778,0,7
1,WC_neutral_1,15:00:00 - 15:59:59,857,0,4
1,WC_neutral_2,15:00:00 - 15:59:59,920,0,0
1,WC_neutral_3,15:00:00 - 15:59:59,956,0,7
1,WC_empathy_1,15:00:00 - 15:59:59,871,0,8
1,WC_empathy_2,15:00:00 - 15:59:59,829,0,6
1,WC_empathy_3,15:00:00 - 15:59:59,842,0,5
1,WC_socialnorm_1,15:00:00 - 15:59:59,895,0,8
1,WC_socialnorm_2,15:00:00 - 15:59:59,826,0,3
1,WC_socialnorm_3,15:00:00 - 15:59:59,825,0,4
1,WC_narrative_1,15:00:00 - 15:59:59,797,0,2
1,WC_narrative_2,15:00:00 - 15:59:59,942,0,5
1,WC_narrative_3,15:00:00 - 15:59:59,899,0,2
1,WC_neutral_1,16:00:00 - 16:59:59,956,0,3
1,WC_neutral_2,16:00:00 - 16:59:59,1095,0,6
1,WC_neutral_3,16:00:00 - 16:59:59,991,0,5
1,WC_empathy_1,16:00:00 - 16:59:59,942,0,5
1,WC_empathy_2,16:00:00 - 16:59:59,1012,0,3
1,WC_empathy_3,16:00:00 - 16:59:59,1093,0,2
1,WC_socialnorm_1,16:00:00 - 16:59:59,1039,0,9
1,WC_socialnorm_2,16:00:00 - 16:59:59,1021,0,4
1,WC_socialnorm_3,16:00:00 - 16:59:59,908,0,7
1,WC_narrative_1,16:00:00 - 16:59:59,882,0,6
1,WC_narrative_2,16:00:00 - 16:59:59,1065,0,7
1,WC_narrative_3,16:00:00 - 16:59:59,1016,0,6
1,WC_neutral_1,17:00:00 - 17:59:59,842,0,10
1,WC_neutral_2,17:00:00 - 17:59:59,943,0,6
1,WC_neutral_3,17:00:00 - 17:59:59,895,0,6
1,WC_empathy_1,17:00:00 - 17:59:59,863,0,4
1,WC_empathy_2,17:00:00 - 17:59:59,812,0,1
1,WC_empathy_3,17:00:00 - 17:59:59,869,0,6
1,WC_socialnorm_1,17:00:00 - 17:59:59,760,0,3
1,WC_socialnorm_2,17:00:00 - 17:59:59,842,0,0
1,WC_socialnorm_3,17:00:00 - 17:59:59,755,0,5
1,WC_narrative_1,17:00:00 - 17:59:59,814,0,3
1,WC_narrative_2,17:00:00 - 17:59:59,930,0,6
1,WC_narrative_3,17:00:00 - 17:59:59,892,0,6
1,WC_neutral_1,18:00:00 - 18:59:59,874,0,1
1,WC_neutral_2,18:00:00 - 18:59:59,928,0,4
1,WC_neutral_3,18:00:00 - 18:59:59,942,0,7
1,WC_empathy_1,18:00:00 - 18:59:59,874,0,6
1,WC_empathy_2,18:00:00 - 18:59:59,865,0,5
1,WC_empathy_3,18:00:00 - 18:59:59,993,0,3
1,WC_socialnorm_1,18:00:00 - 18:59:59,859,0,7
1,WC_socialnorm_2,18:00:00 - 18:59:59,811,0,5
1,WC_socialnorm_3,18:00:00 - 18:59:59,907,0,3
1,WC_narrative_1,18:00:00 - 18:59:59,872,0,9
1,WC_narrative_2,18:00:00 - 18:59:59,970,0,2
1,WC_narrative_3,18:00:00 - 18:59:59,910,0,5
1,WC_neutral_1,19:00:00 - 19:59:59,959,0,4
1,WC_neutral_2,19:00:00 - 19:59:59,1149,0,5
1,WC_neutral_3,19:00:00 - 19:59:59,1045,0,4
1,WC_empathy_1,19:00:00 - 19:59:59,1002,0,4
1,WC_empathy_2,19:00:00 - 19:59:59,1028,0,3
1,WC_empathy_3,19:00:00 - 19:59:59,1105,0,6
1,WC_socialnorm_1,19:00:00 - 19:59:59,1042,0,4
1,WC_socialnorm_2,19:00:00 - 19:59:59,1097,0,2
1,WC_socialnorm_3,19:00:00 - 19:59:59,1029,0,4
1,WC_narrative_1,19:00:00 - 19:59:59,922,0,7
1,WC_narrative_2,19:00:00 - 19:59:59,1178,0,5
1,WC_narrative_3,19:00:00 - 19:59:59,1126,0,4
1,WC_neutral_1,20:00:00 - 20:59:59,1090,0,7
1,WC_neutral_2,20:00:00 - 20:59:59,1249,0,4
1,WC_neutral_3,20:00:00 - 20:59:59,1218,0,6
1,WC_empathy_1,20:00:00 - 20:59:59,1151,0,9
1,WC_empathy_2,20:00:00 - 20:59:59,1165,0,5
1,WC_empathy_3,20:00:00 - 20:59:59,1226,0,7
1,WC_socialnorm_1,20:00:00 - 20:59:59,1261,0,5
1,WC_socialnorm_2,20:00:00 - 20:59:59,1142,0,5
1,WC_socialnorm_3,20:00:00 - 20:59:59,1162,0,5
1,WC_narrative_1,20:00:00 - 20:59:59,1104,0,10
1,WC_narrative_2,20:00:00 - 20:59:59,1330,0,4
1,WC_narrative_3,20:00:00 - 20:59:59,1224,0,5
1,WC_neutral_1,21:00:00 - 21:59:59,1321,0,2
1,WC_neutral_2,21:00:00 - 21:59:59,1675,0,5
1,WC_neutral_3,21:00:00 - 21:59:59,1385,0,14
1,WC_empathy_1,21:00:00 - 21:59:59,1342,0,4
1,WC_empathy_2,21:00:00 - 21:59:59,1594,0,8
1,WC_empathy_3,21:00:00 - 21:59:59,1368,0,4
1,WC_socialnorm_1,21:00:00 - 21:59:59,1428,0,3
1,WC_socialnorm_2,21:00:00 - 21:59:59,1361,0,4
1,WC_socialnorm_3,21:00:00 - 21:59:59,1351,0,7
1,WC_narrative_1,21:00:00 - 21:59:59,1378,0,5
1,WC_narrative_2,21:00:00 - 21:59:59,1459,0,11
1,WC_narrative_3,21:00:00 - 21:59:59,1397,0,9
1,WC_neutral_1,22:00:00 - 22:59:59,1229,0,5
1,WC_neutral_2,22:00:00 - 22:59:59,1416,0,6
1,WC_neutral_3,22:00:00 - 22:59:59,1139,0,5
1,WC_empathy_1,22:00:00 - 22:59:59,1136,0,5
1,WC_empathy_2,22:00:00 - 22:59:59,1224,0,5
1,WC_empathy_3,22:00:00 - 22:59:59,1197,0,6
1,WC_socialnorm_1,22:00:00 - 22:59:59,1242,0,6
1,WC_socialnorm_2,22:00:00 - 22:59:59,1174,0,7
1,WC_socialnorm_3,22:00:00 - 22:59:59,1154,0,8
1,WC_narrative_1,22:00:00 - 22:59:59,1239,0,10
1,WC_narrative_2,22:00:00 - 22:59:59,1298,0,9
1,WC_narrative_3,22:00:00 - 22:59:59,1134,0,8
1,WC_neutral_1,23:00:00 - 23:59:59,921,0,4
1,WC_neutral_2,23:00:00 - 23:59:59,1130,0,4
1,WC_neutral_3,23:00:00 - 23:59:59,894,0,5
1,WC_empathy_1,23:00:00 - 23:59:59,855,0,3
1,WC_empathy_2,23:00:00 - 23:59:59,961,0,4
1,WC_empathy_3,23:00:00 - 23:59:59,908,0,4
1,WC_socialnorm_1,23:00:00 - 23:59:59,836,0,5
1,WC_socialnorm_2,23:00:00 - 23:59:59,991,0,2
1,WC_socialnorm_3,23:00:00 - 23:59:59,803,0,7
1,WC_narrative_1,23:00:00 - 23:59:59,893,0,7
1,WC_narrative_2,23:00:00 - 23:59:59,1008,0,6
1,WC_narrative_3,23:00:00 - 23:59:59,870,0,2
