round,date,ad_name,impressions,reach,link_clicks,spend
1,2026-06-18,WC_neutral_1,3155,3078,26,1.66
1,2026-06-18,WC_neutral_2,3300,3119,12,1.56
1,2026-06-18,WC_neutral_3,3379,3279,30,1.59
1,2026-06-18,WC_empathy_1,3237,3091,32,1.72
1,2026-06-18,WC_empathy_2,3084,3056,22,1.44
1,2026-06-18,WC_empathy_3,3143,3065,24,1.61
1,2026-06-18,WC_socialnorm_1,3256,3209,15,1.65
1,2026-06-18,WC_socialnorm_2,2891,2797,23,1.55
1,2026-06-18,WC_socialnorm_3,3287,3222,33,1.64
1,2026-06-18,WC_narrative_1,3460,3363,28,1.76
1,2026-06-18,WC_narrative_2,3303,3241,17,1.5
1,2026-06-18,WC_narrative_3,2853,2780,18,1.47
1,2026-06-19,WC_neutral_1,3315,3289,25,1.94
1,2026-06-19,WC_neutral_2,3809,3808,11,1.93
1,2026-06-19,WC_neutral_3,3429,3280,15,1.92
1,2026-06-19,WC_empathy_1,3006,3006,15,1.86
1,2026-06-19,WC_empathy_2,3300,3151,7,2.02
1,2026-06-19,WC_empathy_3,3164,3096,14,1.84
1,2026-06-19,WC_socialnorm_1,3549,3397,17,1.89
1,2026-06-19,WC_socialnorm_2,3275,3241,13,1.93
1,2026-06-19,WC_socialnorm_3,3080,2984,17,1.88
1,2026-06-19,WC_narrative_1,3189,3189,26,1.85
1,2026-06-19,WC_narrative_2,3809,3662,24,2.08
1,2026-06-19,WC_narrative_3,3267,3164,17,1.95
1,2026-06-20,WC_neutral_1,3440,3345,23,2.02
1,2026-06-20,WC_neutral_2,3844,3775,16,2.07
1,2026-06-20,WC_neutral_3,3399,3399,18,2.06
1,2026-06-20,WC_empathy_1,3243,3158,17,1.98
1,2026-06-20,WC_empathy_2,3241,3241,17,2.1
1,2026-06-20,WC_empathy_3,3648,3506,13,2.04
1,2026-06-20,WC_socialnorm_1,3562,3421,27,2.12
1,2026-06-20,WC_socialnorm_2,3488,3479,8,1.95
1,2026-06-20,WC_socialnorm_3,3380,3380,22,2.11
1,2026-06-20,WC_narrative_1,3493,3369,21,2.01
1,2026-06-20,WC_narrative_2,3778,3691,23,2.06
1,2026-06-20,WC_narrative_3,3536,3523,26,2.13
1,2026-06-21,WC_neutral_1,3978,3978,28,2.14
1,2026-06-21,WC_neutral_2,3992,3755,10,2.14
1,2026-06-21,WC_neutral_3,3745,3642,20,2.26
1,2026-06-21,WC_empathy_1,3854,3755,22,2.23
1,2026-06-21,WC_empathy_2,3784,3753,19,2.21
1,2026-06-21,WC_empathy_3,3984,3905,22,2.24
1,2026-06-21,WC_socialnorm_1,3883,3758,16,2.19
1,2026-06-21,WC_socialnorm_2,3717,3564,7,2.17
1,2026-06-21,WC_socialnorm_3,3597,3465,18,2.11
1,2026-06-21,WC_narrative_1,3749,3678,25,2.26
1,2026-06-21,WC_narrative_2,4033,3949,21,2.23
1,2026-06-21,WC_narrative_3,3923,3887,18,2.27
1,2026-06-22,WC_neutral_1,3393,3277,9,1.87
1,2026-06-22,WC_neutral_2,4113,3898,7,2.06
1,2026-06-22,WC_neutral_3,3295,3295,20,1.88
1,2026-06-22,WC_empathy_1,3218,3202,18,1.87
1,2026-06-22,WC_empathy_2,3559,3559,12,2.02
1,2026-06-22,WC_empathy_3,3831,3723,18,2.07
1,2026-06-22,WC_socialnorm_1,3304,3200,20,1.83
1,2026-06-22,WC_socialnorm_2,3789,3690,12,2.14
1,2026-06-22,WC_socialnorm_3,3534,3459,24,2.02
1,2026-06-22,WC_narrative_1,3340,3275,23,1.83
1,2026-06-22,WC_narrative_2,3610,3439,13,1.88
1,2026-06-22,WC_narrative_3,3585,3531,16,1.91
1,2026-06-23,WC_neutral_1,324,323,1,0.19
1,2026-06-23,WC_neutral_2,292,288,1,0.16
1,2026-06-23,WC_neutral_3,332,332,0,0.21
1,2026-06-23,WC_empathy_1,340,335,2,0.18
1,2026-06-23,WC_empathy_2,217,217,0,0.12
1,2026-06-23,WC_empathy_3,187,186,0,0.12
1,2026-06-23,WC_socialnorm_1,307,307,1,0.21
1,2026-06-23,WC_socialnorm_2,276,276,1,0.19
1,2026-06-23,WC_socialnorm_3,220,217,1,0.14
1,2026-06-23,WC_narrative_1,267,262,1,0.16
1,2026-06-23,WC_narrative_2,306,300,1,0.17
1,2026-06-23,WC_narrative_3,298,291,1,0.16
