round,ad_name,hourly_stats_aggregated_by_advertiser_time_zone,impressions,reach,link_clicks
2,WC_neutral_1,00:00:00 - 00:59:59,836,0,4
2,WC_neutral_2,00:00:00 - 00:59:59,836,0,3
2,WC_neutral_3,00:00:00 - 00:59:59,787,0,1
2,WC_empathy_1,00:00:00 - 00:59:59,803,0,3
2,WC_empathy_2,00:00:00 - 00:59:59,930,0,3
2,WC_empathy_3,00:00:00 - 00:59:59,876,0,1
2,WC_socialnorm_1,00:00:00 - 00:59:59,887,0,2
2,WC_socialnorm_2,00:00:00 - 00:59:59,842,0,3
2,WC_socialnorm_3,00:00:00 - 00:59:59,913,0,3
2,WC_narrative_1,00:00:00 - 00:59:59,747,0,3
2,WC_narrative_2,00:00:00 - 00:59:59,801,0,5
2,WC_narrative_3,00:00:00 - 00:59:59,816,0,4
2,WC_neutral_1,01:00:00 - 01:59:59,555,0,2
2,WC_neutral_2,01:00:00 - 01:59:59,515,0,1
2,WC_neutral_3,01:00:00 - 01:59:59,512,0,2
2,WC_empathy_1,01:00:00 - 01:59:59,539,0,2
2,WC_empathy_2,01:00:00 - 01:59:59,627,0,4
2,WC_empathy_3,01:00:00 - 01:59:59,571,0,2
2,WC_socialnorm_1,01:00:00 - 01:59:59,580,0,0
2,WC_socialnorm_2,01:00:00 - 01:59:59,496,0,0
2,WC_socialnorm_3,01:00:00 - 01:59:59,596,0,0
2,WC_narrative_1,01:00:00 - 01:59:59,420,0,1
2,WC_narrative_2,01:00:00 - 01:59:59,529,0,1
2,WC_narrative_3,01:00:00 - 01:59:59,551,0,3
2,WC_neutral_1,02:00:00 - 02:59:59,344,0,0
2,WC_neutral_2,02:00:00 - 02:59:59,320,0,0
2,WC_neutral_3,02:00:00 - 02:59:59,311,0,0
2,WC_empathy_1,02:00:00 - 02:59:59,307,0,1
2,WC_empathy_2,02:00:00 - 02:59:59,406,0,0
2,WC_empathy_3,02:00:00 - 02:59:59,378,0,2
2,WC_socialnorm_1,02:00:00 - 02:59:59,349,0,1
2,WC_socialnorm_2,02:00:00 - 02:59:59,318,0,0
2,WC_socialnorm_3,02:00:00 - 02:59:59,390,0,0
2,WC_narrative_1,02:00:00 - 02:59:59,278,0,2
2,WC_narrative_2,02:00:00 - 02:59:59,288,0,1
2,WC_narrative_3,02:00:00 - 02:59:59,387,0,3
2,WC_neutral_1,03:00:00 - 03:59:59,341,0,0
2,WC_neutral_2,03:00:00 - 03:59:59,271,0,0
