category,n_coder1,n_coder2,pct_agreement,kappa_one_vs_rest
disputing,40,35,76.1,0.522
noncodeable,7,0,90.1,0.0
other,10,14,80.3,0.302
qualifying,6,2,88.7,-0.044
questioning,4,18,77.5,0.199
supporting,4,2,97.2,0.654
