Actor_ID;Actor_Name;Primary_Identification_String;Number_of_Times_Identified;Additional_Identification_Sources;Operates_primarily_in_Namibia (1/0);Conservation_Mandate (1/0);Has_Public_Instagram (1/0);Active_in_Sampling_Period (1/0);Included_in_Final_Sampling_Frame (1/0);Reason_for_Exclusion;Instagram_Handle;Actor_Type (1–6);Notes;;;;
ID;Actor_Name;Primary_String;N;;Namibia;Mandate;IG;Active;Incl;Reason;;;;;;;Type (1–6):
A0050;TH!NK Namibia;environmental NGO;1;;1;1;1;1;1;;https://www.instagram.com/thinknamibia/ ;1;;;;;
A0051;The Nature Conservancy;;1;;0;1;1;1;0;No Namibia;https://www.instagram.com/nature_africa/ ;1;;;;;
A0052;Tosco Trust;;1;;1;1;1;1;1;;https://www.instagram.com/tosconamibia/ ;1;;;;;
A0053;WWF Namibia;;5;;1;1;1;1;1;;https://www.instagram.com/wwfnamibia/ ;1;;;;;
A0054;Youth4CAN;;1;;1;1;1;1;1;;https://www.instagram.com/youth4can_namibia/ ;3;;;;;
A0055;Oxpeckers Environmental Journalism;;1;;0;1;0;0;0;No Namibia;https://www.instagram.com/oxpeckers/ ;6;;;;;
A0056;International Volunteer HQ;;1;;0;1;1;1;0;No Namibia;https://www.instagram.com/ivhq/ ;6;;;;;
A0057;GIZ Namibia;;2;;1;1;0;0;0;No IG;;6;;;;;
A0058;Environmental Information Service;;1;;1;1;0;0;;No IG;;6;;;;;
A0059;B2Gold Rhino Gold Bar Fund;;1;;1;1;0;0;;No IG;;6;;;;;
A0060;Resilient Waters;;1;;0;1;0;0;;;;6;;;;;
