term,n_posts,n_total,pct,ci_lo,ci_hi
conservancy,41,910,4.5054945054945055,3.3383413060357614,6.055146580705222
communal,17,910,1.8681318681318682,1.1695837211123916,2.971352738772998
cbnrm,23,910,2.5274725274725274,1.6899891351626708,3.7640851814366174
community_generic,193,910,21.208791208791208,18.67662465260158,23.983022270891503
