term,IRR_glm,lo_glm,hi_glm,z_glm,p_glm,IRR_clustered,lo_clustered,hi_clustered,z_clustered,p_clustered,sign_flips,ci_excludes_1_glm,ci_excludes_1_clustered,conclusion_changes
Post_FormatCarousel,1.637163224370446,1.2384765329991791,2.164193952662332,3.4620936113071736,5.359906925625746e-4,1.6996624037828771,1.2817373800210057,2.253856626063012,3.6838895334983923,2.2970181887109386e-4,FALSE,TRUE,TRUE,FALSE
Post_FormatVideo,3.236678573274999,2.411498784134321,4.344222877333188,7.822356679348283,5.184346458323523e-15,2.8174335232671384,2.0336166680804406,3.9033569023223067,6.227466138443144,4.740391503910361e-10,FALSE,TRUE,TRUE,FALSE
f_Empathy,1.9648262384311477,1.4634025277676346,2.6380589577883296,4.492917846542434,7.025389184623847e-6,1.7264109486734496,1.306340373457496,2.281560628652296,3.8385574090275973,1.2375928067084093e-4,FALSE,TRUE,TRUE,FALSE
f_Threat,1.90270491574497,1.4241761598880363,2.5420212038127974,4.352419591527835,1.3464326050297777e-5,1.449989815938763,1.080379235922596,1.9460485692606921,2.4749860392628444,0.013324138410793883,FALSE,TRUE,TRUE,FALSE
f_Efficacy,1.1775000581089596,0.9288574293349736,1.4927009711698047,1.350168926973242,0.1769618029131123,1.0428297736671772,0.8280475407335954,1.3133230682422994,0.3564193950954656,0.7215265066442749,FALSE,FALSE,FALSE,FALSE
f_Scientific,0.9743205899033553,0.7549481788452478,1.2574381109994222,-0.19988596517091223,0.8415697671121748,0.9284398500564117,0.7088676191098696,1.2160247300549472,-0.5393236783579457,0.5896635333307937,FALSE,FALSE,FALSE,FALSE
f_Protagonist,1.3513261563102044,1.0339059992840927,1.7661976833411788,2.2040925472623534,0.027517836178451417,1.3696277138405217,1.0499251713649,1.7866797803136534,2.3192243373439516,0.02038287551200952,FALSE,TRUE,TRUE,FALSE
f_Interactivity,3.9521420359044654,1.8915679933456455,8.25739636476761,3.655478389398801,2.5670283339547707e-4,2.7144909026688024,1.453535974924543,5.069335047627016,3.13360274562523,0.0017267445364066757,FALSE,TRUE,TRUE,FALSE
logF,2.163544243061095,1.975411137022753,2.369594665107374,16.62752426637253,4.404199668882489e-62,2.0306098567621875,1.4840003520911462,2.778554859888939,4.427174641845283,9.547542925592791e-6,FALSE,TRUE,TRUE,FALSE
