model,term,IRR,lo,hi,b,b_lo,b_hi
nb_glm,storyProblem,1.41800387850881,0.7271593056550817,2.8986385936138643,NA,NA,NA
nb_glm,storyProblem-Solution,0.8638023085615298,0.548204558937664,1.370241152514174,NA,NA,NA
nb_glm,storySolution,0.7925116311710501,0.5192854980521151,1.2140889138077837,NA,NA,NA
lmm_likes_rate,storyProblem,NA,NA,NA,0.011205086345068452,-0.279085438186312,0.3014956108764489
lmm_likes_rate,storyProblem-Solution,NA,NA,NA,-0.05005204502772441,-0.19640713615583505,0.09630304610038622
lmm_likes_rate,storySolution,NA,NA,NA,-0.1277524556580965,-0.24819666997731632,-0.007308241338876684
lrt_vs_base,"story (3 df, N = 881)",NA,NA,NA,2.4447292500485673,NA,0.48536260070975157
