model,phi,df_residual,df_auxiliary,slope_fitted,t_fitted,p_fitted,slope_trials,t_trials,p_trials,verdict
"CTR quasi-binomial, round 1",6.584,8,10,-5549.6768,-1.5258,0.1581,0.00266,1.4064,0.1899,no departure detected
"CTR quasi-binomial, round 2",1.849,8,10,495.3947,0.22,0.8303,3.27e-4,1.3046,0.2213,no departure detected
