diagnostic,observed,simulated_mean,simulated_q025,simulated_q975,two_sided_tail_p
zero_count,458,449.9028,426,473,0.5190961807638472
maximum_count,2059,649.5762,368,1111.0249999999996,3.999200159968006e-4
corpus_variance,7350.911314621814,2103.1052937777317,1030.2200414688887,3836.635697876895,3.999200159968006e-4
