pair,r,lo,hi,n,p
nrc_fear ~ f_Threat,0.20846872874475755,0.14569587967856235,0.2695697642994891,917,1.8367714765959976e-10
nrc_joy ~ f_Empathy,0.011306558996036926,-0.05347175537493603,0.07599011022106764,917,0.7324041551220604
nrc_trust ~ f_Efficacy,0.18481599908808302,0.12153092228114648,0.24660459007562133,917,1.7243686860975402e-8
