foundation,mean,lo,hi
care,1.600174482006543,1.3583751363140675,1.8639062159214823
sanctity,1.308691384950927,1.1528470556161394,1.4718097055616137
loyalty,1.2174154852780807,1.1033664122137405,1.3425229007633586
authority,0.7040239912758997,0.6050787895310796,0.8119326608505998
fairness,0.2070774263904035,0.1685357142857143,0.2506559432933479
