term,Estimate,SE,ci_lo,ci_hi,t
Post_FormatCarousel,0.30885433292676406,0.05629734737576557,0.19851355964512304,0.41919510620840505,5.486125853590701
Post_FormatVideo,0.3791770572002281,0.0720253979413989,0.23800987126292095,0.5203442431375352,5.264490971764336
CTA_TypeDonate,0.09126186080865584,0.13578297531850664,-0.17486788052930818,0.35739160214661986,0.672115635959387
CTA_TypeEvent,0.12067678671039664,0.111814014969628,-0.09847465559689667,0.33982822901768994,1.0792635139984557
CTA_TypeLearn,-0.11465106509110792,0.0701590621252837,-0.2521603000457721,0.022858169863556266,-1.6341590326047182
CTA_TypeShare,-0.36436872378441454,0.26991116086694533,-0.8933848781090241,0.16464743054019504,-1.3499579736313043
CTA_TypeVolunteer,0.19971006770928226,0.12691647829025723,-0.04904165878428152,0.44846179420284604,1.5735550686534692
f_Scientific,0.06370286039582568,0.06318940830344096,-0.060146104083314805,0.18755182487496616,1.0081256037391437
f_Empathy,0.3403228115066788,0.07070280472909408,0.20174786063168623,0.47889776238167137,4.813427314668276
f_Threat,0.22828569281534414,0.06598383949216384,0.09895974384903136,0.35761164178165694,3.4597212676969953
f_Protagonist,0.13153638761547506,0.05333264272285156,0.02700632867834382,0.2360664465526063,2.4663392042846466
f_Onscreen_Text,-0.188850031686427,0.06388498573649252,-0.31406230288280734,-0.06363776049004663,-2.956094135567
cap_z,-0.10125219935762239,0.030291014356633124,-0.16062149655180902,-0.041882902163435765,-3.3426480264253744
hash_z,0.0029663236724639607,0.03999654861800193,-0.07542547112472507,0.081358118469653,0.07416449106133265
