round,variant,pct_female_emp,ctr_emp,imp_emp,imp_f_emp,clicks_emp,pct_female_neu,ctr_neu,imp_neu,imp_f_neu,clicks_neu,ctr_diff_pp,ctr_log_ratio,pct_female_pair
1,1,0.48551371289190315,0.006246653578440122,16809,8161,105,0.4765223351993602,0.006397806466354392,17506,8342,112,-0.015115288791427064,-0.023909299078581896,0.4809267084365438
1,2,0.44813860922500587,0.004448606883633809,17084,7656,76,0.4379645511720983,0.0029627319507250895,19239,8426,57,0.14858749329087198,0.4064791883073964,0.44274977287118356
1,3,0.44638655462184873,0.004985994397759104,17850,7968,89,0.4327555631828843,0.005834906469881586,17481,7565,102,-0.08489120721224819,-0.1572253749487324,0.4396422405253177
2,1,0.49383581653520303,0.004031551270815075,17115,8452,69,0.4690594767874521,0.003434655675768504,17469,8194,60,0.05968955950465707,0.16023455191610272,0.4813208420078649
2,2,0.4771641505828397,0.0026753296388304986,20932,9988,56,0.46481817681685644,0.003300874731803928,18177,8449,60,-0.06255450929734292,-0.21011490136595118,0.4714260144723721
2,3,0.4655226209048362,0.0038481539261570464,19230,8952,74,0.468465332172904,0.002959094865100087,17235,8074,51,0.08890590610569596,0.2627101008479845,0.46691347867818456
