arm,ad_k,ad_n,ad_pct,ad_ci_lo,ad_ci_hi,org_k,org_n,org_pct,org_ci_lo,org_ci_hi,diff_pp,diff_ci_lo,diff_ci_hi,fisher_p,odds_ratio
primary (en + af + osh),15,71,21.12676056338028,13.242551416221604,31.97497821900306,9,2172,0.4143646408839779,0.2181530701325177,0.7856635790050095,20.712395922496306,12.819448641689826,31.56238787107684,7.225111604671525e-18,63.79011106459532
sensitivity (+ de/nl/pt/es/fr/it),15,71,21.12676056338028,13.242551416221604,31.97497821900306,9,2172,0.4143646408839779,0.2181530701325177,0.7856635790050095,20.712395922496306,12.819448641689826,31.56238787107684,7.225111604671525e-18,63.79011106459532
