id,condition,scale,item_num,item_id,score
17,Narrative,EMP,3,EMP_3,2
17,Narrative,NORM,4,NORM_4,4
17,Narrative,NORM,5,NORM_5,4
17,Narrative,NORM,6,NORM_6,4
17,Narrative,NAR,7,NAR_7,4
17,Narrative,NAR,8,NAR_8,4
17,Narrative,NAR,9,NAR_9,3
17,Narrative,CTRL1,10,CTRL1_10,3
17,Narrative,CTRL2,11,CTRL2_11,5
17,Neutral,EMP,1,EMP_1,2
17,Neutral,EMP,2,EMP_2,3
17,Neutral,EMP,3,EMP_3,2
17,Neutral,NORM,4,NORM_4,4
17,Neutral,NORM,5,NORM_5,4
17,Neutral,NORM,6,NORM_6,4
17,Neutral,NAR,7,NAR_7,2
17,Neutral,NAR,8,NAR_8,2
17,Neutral,NAR,9,NAR_9,2
17,Neutral,CTRL1,10,CTRL1_10,3
17,Neutral,CTRL2,11,CTRL2_11,5
17,Social Norm,EMP,1,EMP_1,3
17,Social Norm,EMP,2,EMP_2,4
17,Social Norm,EMP,3,EMP_3,2
17,Social Norm,NORM,4,NORM_4,4
17,Social Norm,NORM,5,NORM_5,4
17,Social Norm,NORM,6,NORM_6,5
17,Social Norm,NAR,7,NAR_7,4
17,Social Norm,NAR,8,NAR_8,2
17,Social Norm,NAR,9,NAR_9,4
17,Social Norm,CTRL1,10,CTRL1_10,3
17,Social Norm,CTRL2,11,CTRL2_11,5
18,Empathy,EMP,1,EMP_1,2
18,Empathy,EMP,2,EMP_2,2
18,Empathy,EMP,3,EMP_3,2
18,Empathy,NORM,4,NORM_4,2
18,Empathy,NORM,5,NORM_5,1
18,Empathy,NORM,6,NORM_6,2
18,Empathy,NAR,7,NAR_7,5
18,Empathy,NAR,8,NAR_8,4
18,Empathy,NAR,9,NAR_9,4
18,Empathy,CTRL1,10,CTRL1_10,3
18,Empathy,CTRL2,11,CTRL2_11,5
18,Narrative,EMP,1,EMP_1,2
18,Narrative,EMP,2,EMP_2,4
18,Narrative,EMP,3,EMP_3,2
18,Narrative,NORM,4,NORM_4,2
18,Narrative,NORM,5,NORM_5,2
18,Narrative,NORM,6,NORM_6,2
18,Narrative,NAR,7,NAR_7,5
18,Narrative,NAR,8,NAR_8,5
18,Narrative,NAR,9,NAR_9,5
18,Narrative,CTRL1,10,CTRL1_10,3
18,Narrative,CTRL2,11,CTRL2_11,5
18,Neutral,EMP,1,EMP_1,1
18,Neutral,EMP,2,EMP_2,1
18,Neutral,EMP,3,EMP_3,1
18,Neutral,NORM,4,NORM_4,4
18,Neutral,NORM,5,NORM_5,4
18,Neutral,NORM,6,NORM_6,2
18,Neutral,NAR,7,NAR_7,1
18,Neutral,NAR,8,NAR_8,1
18,Neutral,NAR,9,NAR_9,3
18,Neutral,CTRL1,10,CTRL1_10,2
18,Neutral,CTRL2,11,CTRL2_11,5
18,Social Norm,EMP,1,EMP_1,1
18,Social Norm,EMP,2,EMP_2,4
18,Social Norm,EMP,3,EMP_3,1
18,Social Norm,NORM,4,NORM_4,5
18,Social Norm,NORM,5,NORM_5,5
18,Social Norm,NORM,6,NORM_6,5
18,Social Norm,NAR,7,NAR_7,2
18,Social Norm,NAR,8,NAR_8,1
18,Social Norm,NAR,9,NAR_9,4
18,Social Norm,CTRL1,10,CTRL1_10,4
18,Social Norm,CTRL2,11,CTRL2_11,5
19,Empathy,EMP,1,EMP_1,4
19,Empathy,EMP,2,EMP_2,5
19,Empathy,EMP,3,EMP_3,5
19,Empathy,NORM,4,NORM_4,2
19,Empathy,NORM,5,NORM_5,2
