id,condition,scale,n_items,score
22,Narrative,NORM,3,3.6666666666666665
22,Narrative,NAR,3,5
22,Narrative,CTRL1,1,5
22,Narrative,CTRL2,1,5
23,Neutral,EMP,3,2.6666666666666665
23,Neutral,NORM,3,2.3333333333333335
23,Neutral,NAR,3,2
23,Neutral,CTRL1,1,4
23,Neutral,CTRL2,1,4
23,Empathy,EMP,3,4
23,Empathy,NORM,3,3.6666666666666665
23,Empathy,NAR,3,2.6666666666666665
23,Empathy,CTRL1,1,4
23,Empathy,CTRL2,1,4
23,Social Norm,EMP,3,3.3333333333333335
23,Social Norm,NORM,3,4.333333333333333
23,Social Norm,NAR,3,2.3333333333333335
23,Social Norm,CTRL1,1,4
23,Social Norm,CTRL2,1,4
23,Narrative,EMP,3,3.3333333333333335
23,Narrative,NORM,3,4
23,Narrative,NAR,3,4.333333333333333
23,Narrative,CTRL1,1,4
23,Narrative,CTRL2,1,4
24,Neutral,EMP,3,3.3333333333333335
24,Neutral,NORM,3,2.3333333333333335
24,Neutral,NAR,3,2
24,Neutral,CTRL1,1,4
24,Neutral,CTRL2,1,5
24,Empathy,EMP,3,5
24,Empathy,NORM,3,1.3333333333333333
24,Empathy,NAR,3,3
24,Empathy,CTRL1,1,4
24,Empathy,CTRL2,1,5
24,Social Norm,EMP,3,3.6666666666666665
24,Social Norm,NORM,3,4
24,Social Norm,NAR,3,2.6666666666666665
24,Social Norm,CTRL1,1,5
24,Social Norm,CTRL2,1,5
24,Narrative,EMP,3,4
24,Narrative,NORM,3,2.3333333333333335
24,Narrative,NAR,3,4.666666666666667
24,Narrative,CTRL1,1,5
24,Narrative,CTRL2,1,5
25,Neutral,EMP,3,2.6666666666666665
25,Neutral,NORM,3,2
25,Neutral,NAR,3,1
25,Neutral,CTRL1,1,4
25,Neutral,CTRL2,1,5
25,Empathy,EMP,3,4.333333333333333
25,Empathy,NORM,3,3.3333333333333335
25,Empathy,NAR,3,2.6666666666666665
25,Empathy,CTRL1,1,4
25,Empathy,CTRL2,1,5
25,Social Norm,EMP,3,3.3333333333333335
25,Social Norm,NORM,3,5
